id,GPR
ALATA_D2,b2551 or b0870
SHCHD2,b3368
CPPPGO,b2436
GTHOr,b3500
DHORD5,b0945
GLYCTO2,b4468 and b2979 and b4467
GLYCTO3,b4468 and b2979 and b4467
GLYCTO4,b4468 and b2979 and b4467
PFK_3,b3916
TRPS2,b1260 and b1261
G3PD5,( b2242 and b2243 and b2241 ) or b3426
LEUTAi,b3770 or b4054
SHK3Dr,b3281 or b1692
G5SD,b0243
ALATA_L2,b0870 or b2551
MAN6PI,b1613
APRAUR,b0414
DB4PS,b3041
RBFK,b0025
ACP1_FMN,b0446 or b3812 or b0844
RBFSb,b1662
DMATT,b0421
GRTT,b0421
UPP3S,b3804
UPPDC1,b3997
TMDPP,b4382
HCO3E,b0126 or b0339
IMPC,b4006
IMPD,b2508
ECOAH4,b2341 or b3846
GLUTRS,b2400
TMPPP,b3993
URIK1,b2066
URIK2,b2066
CYTDK1,b2066
CYTDK2,b2066
XPPT,b0238
HXPRT,b0238 or b0125
NDPK5,b0474 or b2518
DHORTS,b1062
OMPDC,b1281
CS,b0720
ICDHyr,b1136
ACALD,b0351 or b1241
ACS,b4069
PPA,b2502 or b2744 or b4226
PPCK,b3403
ME1,b1479
ALAR,b1190 or b4053
ALATA_L,b2290 or b2379
XYLK,b0063 or b3564
RBK,b3752
GLYK,b3926
PPM,b4383
ASPTA,b0928 or b4054
FBP,b2930 or b4232 or b3925 or b3697
GLGC,b3430
PYK,b1854 or b1676
A5PISO,b3197 or b2708
IPPMIb,b0071 and b0072
ACHBS,( b3670 and b3671 ) or ( b0077 and b0078 )
ACLS,( b0077 and b0078 ) or ( b3670 and b3671 )
PSCVT,b0908
ANS,b1263 and b1264
ANPRT,b1263
CHORM,b2599 or b2600
CHORS,b2329
IGPS,b1262
ECOAH6,b2341 or b3846
ENO,b2779
FBA,b2925 or b2097
MGSA,b0963
PPS,b1702
PGI,b4025
PGK,b2926
EDA,b1850
PGL,b0767
RPE,b3386
TALA,b0008 or b2464
TKT1,b2935 or b2465
G6PDA,b0678
ALCD2x,b1241 or b1478
ALDD2y,b0493 or b3011 or b3588 or b3003 or b4269
RMI,b3903
FMNAT,b0025
NADDP,b3996 or b2411
NMNAT,b4390 or b0639
HMPK1,b2103 or b2418
NDPK6,b0474 or b2518
NDPK8,b0474 or b2518
PYNP2r,b3831
DURIPP,b4382 or b4384
PTRCTA,b3073
CYSDS,b3008 or b3708
TRPAS2,b3708
NDP3,b1134 or b3614
CDPPH,b3614
NDP7,b3614
PMDPHT,b0844 or b3812
ILETA,b3770
VALTA,b3770
ORPT,b3642
RBFSa,b0415
